index,indice_propio,porc_SUEL,porc_DOSE,porc_CONS,porc_EDIF,grupo
8c4cd42eb1621ff,H0001,0,63.010905614398936,36.98909438560106,0,DOSE
8c4cd42eb162bff,H0002,0,28.999360930694166,71.00063906930583,0,CONS
8c4cd42eb1739ff,H0003,0,92.90381893464786,7.096181065352142,0,DOSE
8c4cd42eb1715ff,H0004,0,8.577480690103359,91.42251930989664,0,CONS
8c4cd42eb1711ff,H0005,0,10.672189852352842,89.32781014764716,0,CONS
8c4cd42eb171bff,H0006,0,29.06684589858809,70.93315410141192,0,CONS
8c4cd42eb1627ff,H0007,0,7.529890835936779,92.47010916406322,0,CONS
8c4cd42eb1623ff,H0008,0,0,100,0,CONS
8c4cd42eb163dff,H0009,0,0,99.91217695513348,0.08782304486652852,CONS
8c4cd42eb1735ff,H0010,0,55.84487789522149,44.15512210477851,0,DOSE
8c4cd42eb1731ff,H0011,0,51.88260434267888,48.11739565732111,0,CONS
8c4cd42eb173bff,H0012,0,23.641185553962636,76.35881444603736,0,CONS
8c4cd42eb1717ff,H0013,0,61.94799537577793,38.052004624222064,0,DOSE
8c4cd42eb1713ff,H0014,0,42.142399706559644,57.857600293440356,0,CONS
8c4cd42eb144dff,H0015,0,0,100.00000000000001,0,CONS
8c4cd42eb1631ff,H0016,0,0,93.01140401502073,6.988595984979261,CONS
8c4cd42eb1545ff,H0017,100,0,0,0,SUEL
8c4cd42eb1541ff,H0018,84.52323704037761,4.813600730707431,10.663162228914961,0,SUEL
8c4cd42eb154bff,H0019,0.11749019938417274,7.637260717784211,92.24524908283162,0,CONS
8c4cd42eb1737ff,H0020,0,15.46022263088954,84.53977736911045,0,CONS
8c4cd42eb1733ff,H0021,0,64.73007955170125,35.269920448298755,0,DOSE
8c4cd42eb146dff,H0022,0,51.132930962299596,48.867069037700404,0,CONS
8c4cd42eb1633ff,H0023,0,0,100,0,CONS
8c4cd42eb16cbff,H0024,3.890680691726617,20.41071739198525,75.69860191628813,0,CONS
8c4cd42ebb937ff,H0025,58.141189066614395,21.861934658698193,19.996876274687413,0,SUEL
8c4cd42eb1561ff,H0026,97.50764620810884,0,2.492353791891168,0,SUEL
8c4cd42eb156bff,H0027,83.23896854729334,0,16.76103145270666,0,SUEL
8c4cd42eb1547ff,H0028,30.69457474235893,0,69.30542525764108,0,CONS
8c4cd42eb1543ff,H0029,1.5176715103565166,0,98.48232848964349,0,CONS
8c4cd42eb155dff,H0030,8.58041454423744e-5,56.955729360261785,43.044184835592766,0,DOSE
8c4cd42eb1559ff,H0031,0,49.881858207305946,50.11814179269405,0,CONS
8c4cd42eb1465ff,H0032,0,0,100,0,CONS
8c4cd42eb16c7ff,H0033,1.8582409905002288,28.497830500894416,69.64392850860536,0,CONS
8c4cd42eb16c3ff,H0034,51.25401951182999,21.021297179510853,27.72468330865916,0,SUEL
8c4cd42eb16ddff,H0035,52.59878916592913,11.774041856266889,35.62716897780398,0,SUEL
8c4cd42eb16d9ff,H0036,50.50718007028494,2.5818861796945365,46.91093375002052,0,SUEL
8c4cd42eb1567ff,H0037,58.43897928484709,0,41.561020715152914,0,SUEL
8c4cd42eb1509ff,H0038,0,0,43.36028693876276,56.63971306123724,CONS
8c4cd42eb1555ff,H0039,20.408741686269337,0,79.59125831373066,0,CONS
8c4cd42eb1551ff,H0040,0,0,100,0,CONS
8c4cd42eb155bff,H0041,0,0,100,0,CONS
8c4cd42eb145bff,H0042,0,14.475841110175827,67.33810078443307,18.1860581053911,CONS
8c4cd42eb16e7ff,H0043,0,92.68269753111251,7.317302468887492,0,DOSE
8c4cd42eb16e3ff,H0044,8.488464577954986,24.682204237111044,66.82933118493398,0,CONS
8c4cd42eb168dff,H0045,44.14060973943756,31.53339259308769,24.325997667474756,0,DOSE
8c4cd42eb1689ff,H0046,79.93738288443623,20.062617115563775,0,0,SUEL
8c4cd42eb16d5ff,H0047,85.43690022887573,0,14.563099771124266,0,SUEL
8c4cd42eb16d1ff,H0048,99.99909784103872,0,9.021589612820982e-4,0,SUEL
8c4cd42eb16dbff,H0049,17.168334450511146,0,82.83166554948885,0,CONS
8c4cd42eb0253ff,H0050,84.13638938218718,0,15.863610617812826,0,SUEL
